"#OBSVHA,96,GPS,FINE,2323,120410000,0,0,18,11;0*ab409b9c"
"#GPSEPHA,96,GPS,FINE,2323,120438000,0,0,18,12;16,118230.0,0,64,64,2323,2323,122400.0,2.655951871e+07,4.489115561e-09,3.043836260e+00,1.3828726136e-02,8.3815972149e-01,3.322958946e-06,8.825212717e-06,2.10156250e+02,6.73437500e+01,-3.166496754e-08,-2.346932888e-07,9.6146068047e-01,2.500104139e-12,-8.620667858e-01,-7.71532137e-09,64,122400.0,-1.024454832e-08,-2.3615919e-04,1.0572876e-11,0.0000000e+00,TRUE,1.458652982e-04,4.00000000e+00*8974c8c9"
"#GPSEPHA,96,GPS,FINE,2323,120438000,0,0,18,12;18,112590.0,0,86,86,2323,2323,115200.0,2.655964852e+07,4.084098691e-09,-8.877581567e-01,4.3589780107e-03,-3.0467869411e+00,-3.032386303e-06,5.744397640e-06,2.78843750e+02,-5.62187500e+01,1.229345798e-07,-1.527369022e-07,9.7439824666e-01,-2.757257708e-10,1.163854557e+00,-7.96033158e-09,342,115200.0,-8.381903172e-09,-6.3667912e-04,-3.9790393e-12,0.0000000e+00,TRUE,1.458638239e-04,4.00000000e+00*6b4d1edf"
"#GPSEPHA,96,GPS,FINE,2323,120438000,0,0,18,12;23,110160.0,0,112,112,2323,2323,115200.0,2.655953969e+07,3.770514200e-09,-2.107617841e+00,4.3996041641e-03,-2.9645145466e+00,-2.453103662e-06,8.564442396e-06,2.25687500e+02,-4.83125000e+01,-3.911554813e-08,-1.862645149e-09,9.7991624931e-01,2.807259791e-10,2.165243736e+00,-7.59817364e-09,624,115fc6c4cce"
"#GPSEPHA,96,GPS,FINE,2323,120446000,0,0,18,13;27,118230.0,0,13,13,2323,2323,122384.0,2.656043612e+07,4.705553148e-09,2.165906444e+00,1.2533454108e-02,7.9740338703e-01,2.715736628e-06,4.595145583e-06,2.91468750e+02,5.68125000e+01,-1.937150955e-07,-1.881271601e-07,9.6175398969e-01,2.071514858e-11,9.006215968e-02,-8.11890961e-09,13,122384.0,1.862645149e-09,-3.1158794e-05,-9.0949470e-13,0.0000000e+00,TRUE,1.458579575e-04,4.00000000e+00*8d517f48"
"#GPSEPHA,96,GPS,FINE,2323,120446000,0,0,18,13;32,118440.0,0,18,18,2323,2323,122400.0,2.656056020e+07,4.410183702e-09,2.826738970e+00,7.7841085149e-03,-2.1311149001e+00,-7.394701242e-07,6.994232535e-06,2.43843750e+02,-1.53125000e+01,6.332993507e-08,-8.754432201e-08,9.6261915067e-01,3.128701752e-10,-3.053408148e+00,-7.80889670e-09,18,122400.0,9.313225746e-10,-6.1205495e-04,1.9326762e-12,0.0000000e+00,TRUE,1.458566402e-04,4.00000000e+00*c9184922"
"#BDSEPHA,96,GPS,FINE,2323,120446000,0,0,18,13;19,118800.0,0,1,1,2323,2323,118800.0,2.790612768e+07,3.355496913e-09,1.151319804e+00,7.9835986253e-04,-6.7363119727e-01,-1.435633749e-06,8.108094335e-06,2.06734375e+02,-3.02968750e+01,1.117587090e-07,-9.313225746e-09,9.7915817394e-01,4.146601294e-10,2.687801133e+00,-6.52348602e-09,1,118800.0,9.600000000e-09,9.600000000e-09,-9.18500e-04,-2.40252e-12,0.00000e+00,TRUE,1.354348037e-04,4.00000000e+00*bc48b0f5"
"#BDSEPHA,96,GPS,FINE,2323,120446000,0,0,18,13;20,118800.0,0,1,1,2323,2323,118800.0,2.790617628e+07,3.313352300e-09,1.320929340e+00,7.4961001519e-04,-1.0889106960e-01,-1.387670636e-06,8.098315448e-06,2.07437500e+02,-3.07812500e+01,-5.587935448e-08,2.328306437e-08,9.7914686558e-01,3.632294157e-10,2.688429959e+00,-6.45562605e-09,1,118800.0,1.210000000e-08,1.210000000e-08,-6.87704e-04,-4.29115e-11,0.00000e+00,TRUE,1.354344077e-04,4.00000000e+00*cf826e40"
"#BDSEPHA,96,GPS,FINE,2323,120446000,0,0,18,13;22,118800.0,0,1,1,2323,2323,118800.0,2.790617038e+07,3.424785513e-09,-7.725365680e-01,6.9836154580e-04,4.5508277573e-01,-1.212581992e-06,7.606577128e-06,2.15015625e+02,-2.52187500e+01,-2.793967724e-09,-2.933666110e-08,9.7843918481e-01,3.400141630e-10,2.689340143e+00,-6.60813240e-09,1,118800.0,1.360000000e-08,1.360000000e-08,6.11831e-05,1.21192e-11,0.00000e+00,TRUE,1.354345621e-04,4.00000000e+00*1ee5b569"
"#BDSEPHA,96,GPS,FINE,2323,120446000,0,0,18,13;29,118800.0,0,1,1,2323,2323,118800.0,2.790603280e+07,4.093027634e-09,6.192751682e-01,2.3330689874e-04,1.9817683759e+00,2.230517566e-07,2.691987902e-06,3.04140625e+02,7.26562500e+00,3.725290298e-09,4.936009645e-08,9.5653266829e-01,-1.732215011e-10,5.586580531e-01,-7.11958227e-09,1,118800.0,-3.000000000e-10,-3.000000000e-10,3.08450e-04,4.86100e-12,0.00000e+00,TRUE,1.354362319e-04,4.00000000e+00*58f20199"
"#BDSEPHA,96,GPS,FINE,2323,120446000,0,0,18,13;30,111630.0,0,1,1,2323,2323,111600.0,2.790600290e+07,4.000880938e-09,1.608331485e+00,4.3002609164e-04,8.4118066049e-01,-9.313225746e-09,2.972781658e-06,3.00171875e+02,3.67187500e+00,2.980232239e-08,2.095475793e-08,9.5648750216e-01,-2.442958902e-10,5.591961655e-01,-7.08458082e-09,1,111600.0,-9.800000000e-09,-9.800000000e-09,-1.32617e-04,-1.17160e-11,0.00000e+00,TRUE,1.354363574e-04,4.00000000e+00*1ac55bff"
