ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,38908,2023-09-24 06:34:19.700002,67.93861858400855,21.335607500250603,8536.10243401309,2240872.2617081753,875284.2989472608,5896436.085392842,-12046,4463,9661,15,-298,71,699,25,0,71,None
ERRE,PVT,38909,2023-09-24 06:34:19.900002,67.9386410234173,21.335647997642397,8537.165911089714,2240869.8516652933,875285.1831100739,5896438.012301725,-12052,4426,9612,15,-181,168,700,27,3,73,None
ERRE,PVT,38910,2023-09-24 06:34:20.100002,67.9386634326864,21.33568852125012,8538.231821519634,2240867.4449778977,875286.0697623772,5896439.940200895,-12050,4434,9640,15,-39,227,722,25,1,74,None
ERRE,PVT,38911,2023-09-24 06:34:20.300002,67.93868580237807,21.335728937583404,8539.296154422109,2240865.0431919517,875286.9534906129,5896441.864977244,-12027,4425,9666,15,-41,117,741,26,1,72,None
ERRE,PVT,38912,2023-09-24 06:34:20.500002,67.93870817931489,21.335769486813764,8540.356974719993,2240862.6374471583,875287.8416602822,5896443.786801503,-12017,4442,9647,15,-185,44,780,25,1,74,None
ERRE,PVT,38913,2023-09-24 06:34:20.700002,67.93873055748787,21.335809970183334,8541.433146665771,2240860.237958982,875288.7293020559,5896445.722904669,-12035,4437,9673,15,-285,46,751,25,1,73,None
ERRE,PVT,38914,2023-09-24 06:34:20.900002,67.93875284437519,21.335850574543382,8542.499351255467,2240857.8419352383,875289.6237480997,5896447.6459404025,-12012,4480,9671,15,-195,98,690,27,1,72,None
ERRE,PVT,38915,2023-09-24 06:34:21.100002,67.93877511994332,21.335891090665047,8543.54865406992,2240855.442436428,875290.5128562992,5896449.552836454,-12033,4456,9590,15,-123,198,639,26,1,74,None
ERRE,PVT,38916,2023-09-24 06:34:21.400002,67.93880859759025,21.33595182562815,8545.140073567001,2240851.843696597,875291.8449438256,5896452.432062999,-12033,4434,9564,15,-120,212,561,26,0,72,None
ERRE,PVT,38917,2023-09-24 06:34:21.600002,67.93883090389498,21.335992327520582,8546.201813405367,2240849.4457999305,875292.7340291631,5896454.351773352,-12052,4454,9548,15,-219,63,550,27,1,72,None
